"INCIDENTNAME","INCIDENTSTARTDATE","total","missing_roofmaterial"
"Clover","2013-09-09T00:00:00.0Z",222,222
"Cocos","2014-05-14T00:00:00.0Z",49,49
"Black","2014-09-13T00:00:00.0Z",11,11
"Boles","2014-09-15T00:00:00.0Z",250,0
"Round","2015-02-06T00:00:00.0Z",59,0
"Rocky","2015-07-29T00:00:00.0Z",110,18
"Butte","2015-09-09T00:00:00.0Z",964,4
"Tassajara","2015-09-19T00:00:00.0Z",19,0
"Erskine","2016-06-24T00:00:00.0Z",409,0
"Soberanes","2016-07-22T00:00:00.0Z",73,0
"Goose","2016-07-30T00:00:00.0Z",10,0
"Chimney","2016-08-13T00:00:00.0Z",78,3
"Clayton","2016-08-13T00:00:00.0Z",327,18
"Grade","2016-08-24T00:00:00.0Z",13,0
"Owens River","2016-09-17T00:00:00.0Z",7,0
"Loma","2016-09-26T00:00:00.0Z",29,0
"Fay","2017-07-05T00:00:00.0Z",1,0
"Alamo","2017-07-06T00:00:00.0Z",15,1
"Wall","2017-07-07T00:00:00.0Z",101,0
"Whittier","2017-07-08T00:00:00.0Z",47,0
"Stone","2017-07-09T00:00:00.0Z",3,0
"Garza","2017-07-10T00:00:00.0Z",1,0
"Detwiler","2017-07-16T00:00:00.0Z",155,8
"Laverne","2017-07-18T00:00:00.0Z",32,0
"Spenceville","2017-07-24T00:00:00.0Z",6,0
"Foothill","2017-07-27T00:00:00.0Z",5,0
"Calgary","2017-08-05T00:00:00.0Z",10,0
"Ponderosa","2017-08-29T00:00:00.0Z",60,1
"Railroad","2017-08-29T00:00:00.0Z",9,0
"Helena","2017-08-30T00:00:00.0Z",139,50
"Pleasant","2017-08-30T00:00:00.0Z",2,0
"Miller","2017-08-31T00:00:00.0Z",5,5
"Cathedral","2017-09-03T00:00:00.0Z",3,0
"Mission","2017-09-03T00:00:00.0Z",11,0
"Peak","2017-09-03T00:00:00.0Z",9,0
"Estate","2017-09-23T00:00:00.0Z",15,0
"Canyon","2017-09-25T00:00:00.0Z",156,0
"Timm","2017-10-02T00:00:00.0Z",1,0
"Atlas","2017-10-08T00:00:00.0Z",1372,0
"Cascade","2017-10-08T00:00:00.0Z",274,92
"Nuns","2017-10-08T00:00:00.0Z",1554,0
"Redwood","2017-10-08T00:00:00.0Z",580,6
"Sulphur","2017-10-08T00:00:00.0Z",170,6
"Tubbs","2017-10-08T00:00:00.0Z",6023,0
"Canyon 2","2017-10-09T00:00:00.0Z",80,0
"Cherokee","2017-10-09T00:00:00.0Z",7,4
"Laporte","2017-10-09T00:00:00.0Z",76,30
"Lobo","2017-10-09T00:00:00.0Z",51,5
"McCourtney","2017-10-09T00:00:00.0Z",14,0
"Pocket","2017-10-09T00:00:00.0Z",10,0
"Thirty Seven","2017-10-09T00:00:00.0Z",4,0
"Bear","2017-10-16T00:00:00.0Z",24,23
"Thomas","2017-12-04T00:00:00.0Z",1365,0
"Skirball","2017-12-06T00:00:00.0Z",90,0
"Lilac","2017-12-07T00:00:00.0Z",246,0
"Frazier","2018-06-03T00:00:00.0Z",2,0
"Ruby","2018-06-14T00:00:00.0Z",26,0
"Pawnee","2018-06-23T00:00:00.0Z",29,0
"Stoll","2018-06-23T00:00:00.0Z",30,0
"Horse","2018-06-24T00:00:00.0Z",2,0
"Hyatt","2018-06-27T00:00:00.0Z",5,0
"Ridge","2018-06-30T00:00:00.0Z",1,0
"Waverly","2018-06-30T00:00:00.0Z",1,0
"County","2018-07-01T00:00:00.0Z",130,0
"Nicolaus","2018-07-01T00:00:00.0Z",1,0
"Colusa","2018-07-05T00:00:00.0Z",1,0
"Klamathon","2018-07-05T00:00:00.0Z",95,0
"Holiday","2018-07-06T00:00:00.0Z",27,0
"Irish","2018-07-06T00:00:00.0Z",2,0
"West","2018-07-06T00:00:00.0Z",64,0
