"INCIDENTNAME","DAMAGE","total","missing_ventscreen"
"Silver","No Damage",5,5
"Clover","Destroyed (>50%)",207,207
"Clover","Major (25-50%)",11,11
"Clover","Minor (10-25%)",3,3
"Clover","No Damage",1,1
"Cocos","Destroyed (>50%)",43,43
"Cocos","Major (25-50%)",6,6
"Black","Destroyed (>50%)",11,11
"Boles","Destroyed (>50%)",242,0
"Boles","Major (25-50%)",1,0
"Boles","Minor (10-25%)",7,0
"Round","Destroyed (>50%)",53,52
"Round","Minor (10-25%)",6,5
"Rocky","Affected (>0-10%)",2,1
"Rocky","Destroyed (>50%)",98,31
"Rocky","Minor (10-25%)",7,3
"Butte","Affected (>0-10%)",25,4
"Butte","Destroyed (>50%)",928,25
"Butte","Major (25-50%)",5,1
"Butte","Minor (10-25%)",6,1
"Tassajara","Affected (>0-10%)",1,0
"Tassajara","Destroyed (>50%)",18,0
"Erskine","Affected (>0-10%)",15,5
"Erskine","Destroyed (>50%)",388,192
"Erskine","Major (25-50%)",2,1
"Erskine","Minor (10-25%)",4,2
"Soberanes","Destroyed (>50%)",69,43
"Soberanes","Major (25-50%)",1,1
"Soberanes","Minor (10-25%)",3,2
"Goose","Destroyed (>50%)",9,0
"Goose","Minor (10-25%)",1,0
"Chimney","Affected (>0-10%)",5,1
"Chimney","Destroyed (>50%)",70,16
"Chimney","Major (25-50%)",1,1
"Chimney","Minor (10-25%)",2,2
"Clayton","Affected (>0-10%)",8,0
"Clayton","Destroyed (>50%)",300,56
"Clayton","Major (25-50%)",8,0
"Clayton","Minor (10-25%)",11,4
"Grade","Affected (>0-10%)",1,0
"Grade","Destroyed (>50%)",10,2
"Owens River","Destroyed (>50%)",7,0
"Loma","Destroyed (>50%)",28,4
"Loma","Major (25-50%)",1,0
"Fay","Destroyed (>50%)",1,0
"Alamo","Affected (>0-10%)",1,0
"Alamo","Destroyed (>50%)",14,2
"Wall","Affected (>0-10%)",5,1
"Wall","Destroyed (>50%)",93,16
"Wall","Major (25-50%)",2,0
"Wall","Minor (10-25%)",1,0
"Whittier","Affected (>0-10%)",5,0
"Whittier","Destroyed (>50%)",40,0
"Whittier","Major (25-50%)",1,0
"Whittier","Minor (10-25%)",1,0
"Stone","Destroyed (>50%)",3,1
"Garza","Destroyed (>50%)",1,0
"Detwiler","Affected (>0-10%)",14,2
"Detwiler","Destroyed (>50%)",134,18
"Detwiler","Major (25-50%)",2,0
"Detwiler","Minor (10-25%)",5,1
"Laverne","Affected (>0-10%)",4,0
"Laverne","Destroyed (>50%)",27,0
"Laverne","Minor (10-25%)",1,0
"Spenceville","Destroyed (>50%)",5,1
"Spenceville","Minor (10-25%)",1,0
"Foothill","Destroyed (>50%)",4,0
"Foothill","Minor (10-25%)",1,0
"Calgary","Affected (>0-10%)",1,0
"Calgary","Destroyed (>50%)",8,0
"Calgary","No Damage",1,0
"Ponderosa","Destroyed (>50%)",56,1
"Ponderosa","No Damage",4,0
"Railroad","Affected (>0-10%)",1,0
"Railroad","Destroyed (>50%)",8,0
"Helena","Affected (>0-10%)",3,1
"Helena","Destroyed (>50%)",131,62
"Helena","Major (25-50%)",1,1
"Helena","Minor (10-25%)",4,1
"Pleasant","Affected (>0-10%)",1,1
