"INCIDENTNAME","total","missing_patiocarport"
"Palisades",12137,1
"Zogg",565,0
"Woolsey",2007,0
"Woods",1,0
"Wolf",22,0
"Winters",2,0
"Windy",217,0
"Winding",15,0
"Willow",26,0
"Wilderness",1,0
"Whittier",47,0
"White",22,0
"Whisky",9,0
"West",64,0
"Waverly",1,0
"Washington ",19,0
"Wall",101,0
"Wagner",7,0
"Volcano",5,0
"Vista",15,0
"View",1,0
"Vestal",6,0
"Valley",2512,0
"Utah",4,0
"Usher",3,0
"Upland",1,0
"Tubbs",6023,0
"Truitman",4,0
"Trower",1,0
"Trinity",1,0
"Triangle",1,0
"Trap",7,0
"Totokon",4,0
"Timm",1,0
"Tiger",8,0
"Tick",75,0
"Thunder",2,0
"Thompson",185,0
"Thomas",1365,0
"Thirty Seven",4,0
"The Pines ",1,0
"Tenant",12,0
"Tassajara",19,0
"Tamarack",396,0
"TCU Complex",278,0
"Swedes",11,0
"Sun",2,0
"Sulphur",170,0
"Stoney",5,0
"Stone",3,0
"Stoll",30,0
"Still",1,0
"Steins",6,0
"Steele",12,0
"Star",2,0
"Stampfli",2,0
"Stallion ",2,0
"Stallion",3,0
"Stagecoach",156,0
"Stage Coach",3,0
"Springs",6,0
"Spring",2,0
"Spenceville",6,0
"Southern",3,0
"Soberanes",73,0
"Slater",449,0
"Skirball",90,0
"Sites",52,0
"Silverado",1314,0
"Silver",58,0
"Shirley",3,0
"Shine",4,0
"Sheep",130,0
"Shawn",9,0
"Seco",3,0
"Schulmeyer",10,0
"Sandra",5,0
"Sandia",2,0
"Sandalwood",120,0
"Sand",4,0
"Salt",97,0
"Saddleridge",122,0
"Saddle",1,0
"SQF Complex",803,0
"SCU Lightning Cmplx",954,0
"Ruth",23,0
"Rush",1,0
"Ruby",26,0
"Round",59,0
"Rosa",9,0
"Rooster",2,0
"Rocky Crest",1,0
"Rocky ",3,0
"Rocky",110,0
"Rock",11,0
"Robinson",3,0
"Roberts",4,0
"River",538,0
"Rimrock",1,0
"Ridge",1,0
"Richmond",1,0
"Rices",11,0
"Riata",3,0
"Redwood",580,0
"Red Bank",2,0
"Red",2,0
"Rector",14,0
"Reche",1,0
"Rawson",2,0
"Rancho",38,0
"Ranch",348,0
"Rainbow",13,0
"Railroad",9,0
"Railbridge",25,0
"Quartz",3,0
"Quarter Horse",3,0
"Quarry",10,0
"Quail",59,0
"Purple",2,0
"Preston",1,0
"Potters",8,0
"Posta",5,0
"Post",54,0
"Ponderosa",60,0
"Pond",5,0
"Point",60,0
"Pocket",10,0
"Plumas",1,0
